input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
A0101KPN.tsv.amrfinderplus	aac(3)-IIe	aminoglycoside N-acetyltransferase AAC(3)-IIe	NCBI Reference Gene Database	2023-11-15.1	WP_000557452.1	amrfinderplus	3.11.18	gene_presence_detected	GENTAMICIN	100.0			AMINOGLYCOSIDE				286													286					100.0
A0101KPN.tsv.amrfinderplus	aac(6')-Ib-cr5	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	NCBI Reference Gene Database	2023-11-15.1	WP_063840321.1	amrfinderplus	3.11.18	gene_presence_detected	AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN	100.0			AMINOGLYCOSIDE/QUINOLONE				184													184					100.0
A0101KPN.tsv.amrfinderplus	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	NCBI Reference Gene Database	2023-11-15.1	WP_001082319.1	amrfinderplus	3.11.18	gene_presence_detected	STREPTOMYCIN	100.0			AMINOGLYCOSIDE				267													267					100.0
A0101KPN.tsv.amrfinderplus	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	NCBI Reference Gene Database	2023-11-15.1	WP_000480968.1	amrfinderplus	3.11.18	gene_presence_detected	STREPTOMYCIN	100.0			AMINOGLYCOSIDE				278													278					100.0
A0101KPN.tsv.amrfinderplus	arsA	arsenite efflux transporter ATPase subunit ArsA	NCBI Reference Gene Database	2023-11-15.1	BAA24822.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENITE	100.0			ARSENIC				583													583					100.0
A0101KPN.tsv.amrfinderplus	arsB	arsenite efflux transporter membrane subunit ArsB	NCBI Reference Gene Database	2023-11-15.1	BAA24823.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENITE	100.0			ARSENIC				429													429					100.0
A0101KPN.tsv.amrfinderplus	arsC	glutaredoxin-dependent arsenate reductase	NCBI Reference Gene Database	2023-11-15.1	BAA24824.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENATE	100.0			ARSENIC				141													141					100.0
A0101KPN.tsv.amrfinderplus	arsD	arsenite efflux transporter metallochaperone ArsD	NCBI Reference Gene Database	2023-11-15.1	AAB09625.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENITE	100.0			ARSENIC				120													120					91.67
A0101KPN.tsv.amrfinderplus	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NCBI Reference Gene Database	2023-11-15.1	AET17094.1	amrfinderplus	3.11.18	gene_presence_detected	ARSENIC	100.0			ARSENIC				116													116					100.0
A0101KPN.tsv.amrfinderplus	blaCTX-M-15	extended-spectrum class A beta-lactamase CTX-M-15	NCBI Reference Gene Database	2023-11-15.1	WP_000239590.1	amrfinderplus	3.11.18	gene_presence_detected	CEPHALOSPORIN	100.0			BETA-LACTAM				291													291					100.0
A0101KPN.tsv.amrfinderplus	blaKPC-3	carbapenem-hydrolyzing class A beta-lactamase KPC-3	NCBI Reference Gene Database	2023-11-15.1	WP_004152396.1	amrfinderplus	3.11.18	gene_presence_detected	CARBAPENEM	100.0			BETA-LACTAM				293													293					100.0
A0101KPN.tsv.amrfinderplus	blaOXA	OXA-9 family oxacillin-hydrolyzing class D beta-lactamase	NCBI Reference Gene Database	2023-11-15.1	WP_000722315.1	amrfinderplus	3.11.18	gene_presence_detected	BETA-LACTAM	100.0			BETA-LACTAM				274													274					99.64
A0101KPN.tsv.amrfinderplus	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	NCBI Reference Gene Database	2023-11-15.1	WP_001334766.1	amrfinderplus	3.11.18	gene_presence_detected	CEPHALOSPORIN	100.0			BETA-LACTAM				276													276					100.0
A0101KPN.tsv.amrfinderplus	blaSHV-28	broad-spectrum class A beta-lactamase SHV-28	NCBI Reference Gene Database	2023-11-15.1	WP_004179754.1	amrfinderplus	3.11.18	gene_presence_detected	BETA-LACTAM	100.0			BETA-LACTAM				286													286					100.0
A0101KPN.tsv.amrfinderplus	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	NCBI Reference Gene Database	2023-11-15.1	WP_000027057.1	amrfinderplus	3.11.18	gene_presence_detected	BETA-LACTAM	100.0			BETA-LACTAM				286													286					100.0
A0101KPN.tsv.amrfinderplus	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	NCBI Reference Gene Database	2023-11-15.1	WP_000186237.1	amrfinderplus	3.11.18	gene_presence_detected	CHLORAMPHENICOL	70.0			PHENICOL				147													210					100.0
A0101KPN.tsv.amrfinderplus	clpK	heat shock survival AAA family ATPase ClpK	NCBI Reference Gene Database	2023-11-15.1	ASF80763.1	amrfinderplus	3.11.18	gene_presence_detected		97.89							929													949					99.25
A0101KPN.tsv.amrfinderplus	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	NCBI Reference Gene Database	2023-11-15.1	WP_004201280.1	amrfinderplus	3.11.18	gene_presence_detected	TRIMETHOPRIM	100.0			TRIMETHOPRIM				157													157					100.0
A0101KPN.tsv.amrfinderplus	emrD	multidrug efflux MFS transporter EmrD	NCBI Reference Gene Database	2023-11-15.1	ACN65732.1	amrfinderplus	3.11.18	gene_presence_detected	EFFLUX	100.0			EFFLUX				394													394					99.24
A0101KPN.tsv.amrfinderplus	fieF	CDF family cation-efflux transporter FieF	NCBI Reference Gene Database	2023-11-15.1	BAB89353.1	amrfinderplus	3.11.18	gene_presence_detected		100.0							300													300					100.0
A0101KPN.tsv.amrfinderplus	fosA	FosA5 family fosfomycin resistance glutathione transferase	NCBI Reference Gene Database	2023-11-15.1	WP_004146118.1	amrfinderplus	3.11.18	gene_presence_detected	FOSFOMYCIN	100.0			FOSFOMYCIN				139													139					100.0
A0101KPN.tsv.amrfinderplus	hsp20	small heat shock protein sHSP20	NCBI Reference Gene Database	2023-11-15.1	CDY80020.1	amrfinderplus	3.11.18	gene_presence_detected		100.0							189													189					100.0
A0101KPN.tsv.amrfinderplus	kdeA	multidrug efflux MFS transporter KdeA	NCBI Reference Gene Database	2023-11-15.1	ABR76310.1	amrfinderplus	3.11.18	gene_presence_detected	EFFLUX	100.0			EFFLUX				410													410					99.76
A0101KPN.tsv.amrfinderplus	merC	organomercurial transporter MerC	NCBI Reference Gene Database	2023-11-15.1	AAC33908.1	amrfinderplus	3.11.18	gene_presence_detected	ORGANOMERCURY	100.0			MERCURY				140													140					99.29
A0101KPN.tsv.amrfinderplus	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NCBI Reference Gene Database	2023-11-15.1	WP_002914189.1	amrfinderplus	3.11.18	gene_presence_detected	PHENICOL/QUINOLONE	100.0			PHENICOL/QUINOLONE				391													391					100.0
A0101KPN.tsv.amrfinderplus	oqxB19	multidrug efflux RND transporter permease subunit OqxB19	NCBI Reference Gene Database	2023-11-15.1	WP_004149399.1	amrfinderplus	3.11.18	gene_presence_detected	PHENICOL/QUINOLONE	100.0			PHENICOL/QUINOLONE				1050													1050					100.0
A0101KPN.tsv.amrfinderplus	pcoA	multicopper oxidase PcoA	NCBI Reference Gene Database	2023-11-15.1	CAA58525.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				605													605					99.83
A0101KPN.tsv.amrfinderplus	pcoB	copper-binding protein PcoB	NCBI Reference Gene Database	2023-11-15.1	CAA58526.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				296													296					100.0
A0101KPN.tsv.amrfinderplus	pcoC	copper resistance system metallochaperone PcoC	NCBI Reference Gene Database	2023-11-15.1	CAA58527.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				126													126					100.0
A0101KPN.tsv.amrfinderplus	pcoD	copper resistance inner membrane protein PcoD	NCBI Reference Gene Database	2023-11-15.1	CAA58528.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				309													309					99.68
A0101KPN.tsv.amrfinderplus	pcoE	copper resistance system metallochaperone PcoE	NCBI Reference Gene Database	2023-11-15.1	CAA58532.1	amrfinderplus	3.11.18	gene_presence_detected	COPPER	100.0			COPPER				144													144					94.44
